Call_ID,Call_Date,Call_Start_Time,Call_End_Time,Call_Duration_Min,Call_Reason,Call_Channel,Sentiment,CSAT_Score,SLA_Target_Min,SLA_Status,State,City,Agent_ID,Call_Center_ID
C000001,19-12-24,19-12-24 9:00,19-12-24 9:23,23,New Connection,Call Center,Neutral,4,15,SLA Violated,TX,Dallas,A046,CC02
C000002,05-04-24,05-04-24 15:00,05-04-24 15:14,14,Power Outage,Chatbot,Negative,2,15,Within SLA,TX,Dallas,A051,CC02
C000003,08-01-24,08-01-24 17:00,08-01-24 17:16,16,Power Outage,Call Center,Neutral,4,15,SLA Violated,CA,Los Angeles,A140,CC04
C000004,03-10-24,03-10-24 12:00,03-10-24 12:02,2,Billing Question,Call Center,Negative,2,15,Within SLA,NY,New York,A016,CC01
C000005,15-09-24,15-09-24 8:00,15-09-24 8:14,14,Power Outage,Web Form,Neutral,3,15,Within SLA,NY,New York,A020,CC01
C000006,23-11-24,23-11-24 17:00,23-11-24 17:00,0,New Connection,Chatbot,Positive,4,15,Within SLA,CA,Los Angeles,A112,CC04
C000007,05-02-24,05-02-24 19:00,05-02-24 19:10,10,Payment Issue,Call Center,Neutral,4,15,Within SLA,TX,Dallas,A050,CC02
C000008,25-01-24,25-01-24 9:00,25-01-24 9:18,18,Service Issues,Chatbot,Negative,3,15,SLA Violated,IL,Chicago,A073,CC03
C000009,03-08-24,03-08-24 10:00,03-08-24 10:14,14,Power Outage,Call Center,Neutral,4,15,Within SLA,IL,Chicago,A084,CC03
C000010,13-08-24,13-08-24 11:00,13-08-24 11:21,21,Service Issues,Chatbot,Negative,4,15,SLA Violated,TX,Dallas,A043,CC02
C000011,22-07-24,22-07-24 15:00,22-07-24 15:18,18,Service Issues,Call Center,Neutral,3,15,SLA Violated,CA,Los Angeles,A107,CC04
C000012,13-06-24,13-06-24 8:00,13-06-24 8:20,20,Service Issues,Call Center,Negative,5,15,SLA Violated,TX,Dallas,A036,CC02
C000013,12-05-24,12-05-24 9:00,12-05-24 9:01,1,Payment Issue,Call Center,Neutral,4,15,Within SLA,IL,Chicago,A088,CC03
C000014,14-07-24,14-07-24 8:00,14-07-24 8:18,18,Power Outage,Call Center,Negative,4,15,SLA Violated,NY,New York,A011,CC01
C000015,31-01-24,31-01-24 11:00,31-01-24 11:03,3,Billing Question,Call Center,Positive,4,15,Within SLA,NY,New York,A006,CC01
C000016,17-09-24,17-09-24 13:00,17-09-24 13:06,6,Billing Question,Call Center,Positive,3,15,Within SLA,TX,Dallas,A061,CC02
C000017,14-08-24,14-08-24 17:00,14-08-24 17:12,12,Service Issues,Chatbot,Negative,3,15,Within SLA,CA,Los Angeles,A113,CC04
C000018,22-05-24,22-05-24 14:00,22-05-24 14:11,11,Service Issues,Call Center,Negative,5,15,Within SLA,TX,Dallas,A067,CC02
C000019,28-10-24,28-10-24 14:00,28-10-24 14:07,7,Payment Issue,Call Center,Neutral,2,15,Within SLA,CA,Los Angeles,A126,CC04
C000020,21-07-24,21-07-24 12:00,21-07-24 12:20,20,Power Outage,Call Center,Negative,2,15,SLA Violated,NY,New York,A032,CC01
C000021,23-06-24,23-06-24 11:00,23-06-24 11:14,14,Service Issues,Email,Neutral,3,15,Within SLA,CA,Los Angeles,A129,CC04
C000022,11-08-24,11-08-24 13:00,11-08-24 13:09,9,Account Cancellation,Call Center,Negative,4,15,Within SLA,CA,Los Angeles,A117,CC04
C000023,06-07-24,06-07-24 16:00,06-07-24 16:11,11,Billing Question,Chatbot,Positive,4,15,Within SLA,IL,Chicago,A100,CC03
C000024,13-01-24,13-01-24 12:00,13-01-24 12:10,10,Billing Question,Call Center,Negative,3,15,Within SLA,TX,Dallas,A067,CC02
C000025,03-05-24,03-05-24 14:00,03-05-24 14:13,13,Billing Question,Call Center,Negative,4,15,Within SLA,IL,Chicago,A093,CC03
C000026,04-09-24,04-09-24 14:00,04-09-24 14:31,31,Service Issues,Call Center,Neutral,4,15,SLA Violated,TX,Dallas,A044,CC02
C000027,01-08-24,01-08-24 16:00,01-08-24 16:20,20,Power Outage,Web Form,Negative,4,15,SLA Violated,TX,Dallas,A066,CC02
C000028,22-09-24,22-09-24 9:00,22-09-24 9:06,6,Billing Question,Call Center,Negative,4,15,Within SLA,TX,Dallas,A058,CC02
C000029,06-07-24,06-07-24 13:00,06-07-24 13:11,11,Power Outage,Email,Neutral,3,15,Within SLA,IL,Chicago,A080,CC03
C000030,20-11-24,20-11-24 17:00,20-11-24 17:07,7,Account Cancellation,Call Center,Negative,4,15,Within SLA,NY,New York,A027,CC01
C000031,20-10-24,20-10-24 16:00,20-10-24 16:02,2,Payment Issue,Call Center,Neutral,5,15,Within SLA,TX,Dallas,A044,CC02
C000032,28-02-24,28-02-24 18:00,28-02-24 18:01,1,Billing Question,Chatbot,Positive,4,15,Within SLA,NY,New York,A006,CC01
C000033,22-11-24,22-11-24 16:00,22-11-24 16:10,10,Power Outage,Chatbot,Negative,2,15,Within SLA,NY,New York,A005,CC01
C000034,08-08-24,08-08-24 12:00,08-08-24 12:22,22,Power Outage,Chatbot,Neutral,4,15,SLA Violated,CA,Los Angeles,A121,CC04
C000035,23-12-24,23-12-24 12:00,23-12-24 12:18,18,Power Outage,Call Center,Neutral,4,15,SLA Violated,CA,Los Angeles,A112,CC04
C000036,15-07-24,15-07-24 12:00,15-07-24 12:30,30,Power Outage,Chatbot,Negative,5,15,SLA Violated,TX,Dallas,A061,CC02
C000037,07-10-24,07-10-24 13:00,07-10-24 13:15,15,Service Issues,Call Center,Negative,4,15,Within SLA,TX,Dallas,A054,CC02
C000038,07-06-24,07-06-24 16:00,07-06-24 16:18,18,Service Issues,Call Center,Negative,4,15,SLA Violated,TX,Dallas,A053,CC02
C000039,25-07-24,25-07-24 14:00,25-07-24 14:13,13,Payment Issue,Web Form,Neutral,3,15,Within SLA,CA,Los Angeles,A107,CC04
C000040,10-04-24,10-04-24 9:00,10-04-24 9:21,21,Service Issues,Email,Neutral,2,15,SLA Violated,TX,Dallas,A040,CC02
C000041,27-10-24,27-10-24 9:00,27-10-24 9:18,18,Service Issues,Call Center,Negative,4,15,SLA Violated,NY,New York,A005,CC01
C000042,08-02-24,08-02-24 17:00,08-02-24 17:22,22,Power Outage,Call Center,Negative,4,15,SLA Violated,NY,New York,A021,CC01
C000043,02-09-24,02-09-24 15:00,02-09-24 15:23,23,Service Issues,Call Center,Neutral,5,15,SLA Violated,TX,Dallas,A044,CC02
C000044,14-07-24,14-07-24 10:00,14-07-24 10:04,4,Billing Question,Chatbot,Neutral,3,15,Within SLA,CA,Los Angeles,A132,CC04
C000045,11-03-24,11-03-24 10:00,11-03-24 10:14,14,Billing Question,Web Form,Negative,3,15,Within SLA,NY,New York,A023,CC01
C000046,18-07-24,18-07-24 14:00,18-07-24 14:17,17,Billing Question,Call Center,Neutral,5,15,SLA Violated,IL,Chicago,A092,CC03
C000047,14-01-24,14-01-24 13:00,14-01-24 13:02,2,Billing Question,Call Center,Positive,3,15,Within SLA,IL,Chicago,A077,CC03
C000048,30-05-24,30-05-24 12:00,30-05-24 12:02,2,Billing Question,Call Center,Neutral,3,15,Within SLA,NY,New York,A008,CC01
C000049,30-12-24,30-12-24 19:00,30-12-24 19:06,6,Billing Question,Call Center,Negative,4,15,Within SLA,CA,Los Angeles,A133,CC04
C000050,14-10-24,14-10-24 19:00,14-10-24 19:08,8,Billing Question,Call Center,Negative,3,15,Within SLA,TX,Dallas,A040,CC02
C000051,17-03-24,17-03-24 11:00,17-03-24 11:00,0,Billing Question,Chatbot,Positive,4,15,Within SLA,TX,Dallas,A068,CC02
C000052,28-07-24,28-07-24 19:00,28-07-24 19:26,26,Power Outage,Call Center,Negative,4,15,SLA Violated,CA,Los Angeles,A112,CC04
C000053,15-03-24,15-03-24 9:00,15-03-24 9:09,9,New Connection,Web Form,Positive,5,15,Within SLA,NY,New York,A024,CC01
C000054,07-03-24,07-03-24 9:00,07-03-24 9:12,12,Account Cancellation,Call Center,Neutral,4,15,Within SLA,CA,Los Angeles,A122,CC04
C000055,29-03-24,29-03-24 12:00,29-03-24 12:04,4,Billing Question,Call Center,Neutral,5,15,Within SLA,NY,New York,A010,CC01
C000056,17-02-24,17-02-24 16:00,17-02-24 16:18,18,Power Outage,Email,Neutral,3,15,SLA Violated,CA,Los Angeles,A119,CC04
C000057,24-01-24,24-01-24 13:00,24-01-24 13:14,14,Power Outage,Call Center,Negative,5,15,Within SLA,TX,Dallas,A057,CC02
C000058,02-04-24,02-04-24 17:00,02-04-24 17:13,13,Power Outage,Call Center,Negative,4,15,Within SLA,TX,Dallas,A051,CC02
C000059,31-12-24,31-12-24 11:00,31-12-24 11:02,2,Payment Issue,Email,Neutral,3,15,Within SLA,TX,Dallas,A041,CC02
